======================================================================
IPTV 酒店源流量测试报告 (2026-04-11 01:30:48)
======================================================================
服务器 (IP:Port)             | 频道名称                 | 平均码率       | 稳定性
49.234.31.101:7033        | 卡酷少儿                 | 0.06   Mbps | 100%
49.234.31.101:7033        | 天津卫视高清               | 0.04   Mbps | 100%
49.234.31.101:7033        | 贵州卫视高清               | 0.03   Mbps | 100%
49.234.31.101:7066        | 广东珠江高清               | 0.04   Mbps | 100%
49.234.31.101:7066        | 南方卫视                 | 0.05   Mbps | 100%
49.234.31.101:7066        | 翡翠台                  | 0.04   Mbps | 100%
49.87.154.246:10091       | 安徽卫视                 | 0.12   Mbps | 100%
49.87.154.246:10091       | 湖北卫视                 | 0.11   Mbps | 100%
49.87.154.246:10091       | CCTV-1HD             | 0.1    Mbps | 100%
59.174.116.246:7777       | 东方卫视                 | 0.42   Mbps | 100%
59.174.116.246:7777       | 辽宁卫视                 | 2.05   Mbps | 100%
59.174.116.246:7777       | 湖北综合                 | 1.97   Mbps | 100%
59.174.117.160:7777       | CCTV-6               | 1.66   Mbps | 100%
59.174.117.160:7777       | CCTV-13              | 0.81   Mbps | 100%
59.174.117.160:7777       | 黑龙江卫视                | 1.21   Mbps | 100%
59.174.119.165:7777       | CCTV-1               | 0.62   Mbps | 100%
59.174.119.165:7777       | 贵州卫视                 | 1.54   Mbps | 100%
59.174.119.165:7777       | 重庆卫视                 | 0.56   Mbps | 100%
59.175.155.147:7777       | CCTV-8               | 0.11   Mbps | 100%
59.175.155.147:7777       | CCTV-9               | 0.12   Mbps | 100%
59.175.155.147:7777       | 黑龙江卫视                | 0.12   Mbps | 100%
61.184.46.85:9901         | CCTV1-高清             | 2.52   Mbps | 0%
61.184.46.85:9901         | 江苏卫视高清               | 2.53   Mbps | 0%
61.184.46.85:9901         | 安徽卫视高清               | 2.18   Mbps | 100%
61.185.200.206:9901       | 浙江卫视                 | 1.01   Mbps | 0%
61.185.200.206:9901       | CCTV7-军农             | 1.04   Mbps | 0%
61.185.200.206:9901       | CCTV6-电影             | 0.77   Mbps | 100%
61.185.200.25:9902        | 河北卫视                 | 0.37   Mbps | 100%
61.185.200.25:9902        | 湖南卫视                 | 0.43   Mbps | 100%
61.185.200.25:9902        | 四川卫视                 | 0.4    Mbps | 100%
61.185.200.27:9904        | 陕西卫视                 | 0.43   Mbps | 100%
61.185.200.27:9904        | 四川卫视                 | 0.95   Mbps | 88%
61.185.200.27:9904        | 甘肃卫视                 | 0.84   Mbps | 51%
61.54.181.197:9901        | 湖南卫视高清               | 1.36   Mbps | 100%
61.54.181.197:9901        | 美食汇                  | 0.37   Mbps | 100%
61.54.181.197:9901        | 江苏卫视高清               | 0.18   Mbps | 100%
shuangyashan.coccc.online:65000 | 浙江卫视                 | 0.43   Mbps | 100%
shuangyashan.coccc.online:65000 | CCTV-7               | 1.17   Mbps | 100%
shuangyashan.coccc.online:65000 | 辽宁卫视                 | 1.15   Mbps | 100%

综合评估 (Summary):
1.198.67.160:9901         | 存活:3 | 均值:0.43Mbps | 峰值:0.52Mbps
1.205.154.57:9999         | 存活:3 | 均值:4.38Mbps | 峰值:6.9Mbps
1.25.137.51:9901          | 存活:3 | 均值:3.27Mbps | 峰值:4.7Mbps
1.25.138.159:9901         | 存活:3 | 均值:2.46Mbps | 峰值:4.59Mbps
1.25.139.36:9901          | 存活:3 | 均值:2.6Mbps | 峰值:6.0Mbps
101.18.30.205:808         | 存活:3 | 均值:0.47Mbps | 峰值:0.85Mbps
101.66.194.40:9901        | 存活:3 | 均值:2.64Mbps | 峰值:4.01Mbps
101.66.194.94:9901        | 存活:3 | 均值:1.64Mbps | 峰值:3.33Mbps
101.66.195.151:9901       | 存活:3 | 均值:1.97Mbps | 峰值:4.93Mbps
101.66.198.177:9901       | 存活:3 | 均值:0.95Mbps | 峰值:1.42Mbps
101.66.198.246:9901       | 存活:3 | 均值:1.95Mbps | 峰值:3.78Mbps
101.66.199.126:9901       | 存活:3 | 均值:0.88Mbps | 峰值:1.52Mbps
101.66.199.41:9901        | 存活:3 | 均值:2.05Mbps | 峰值:4.01Mbps
106.115.27.135:9901       | 存活:1 | 均值:2.79Mbps | 峰值:5.12Mbps
106.115.27.237:9901       | 存活:1 | 均值:0.07Mbps | 峰值:0.08Mbps
110.53.218.182:9002       | 存活:2 | 均值:0.09Mbps | 峰值:0.14Mbps
111.120.8.205:9901        | 存活:3 | 均值:0.83Mbps | 峰值:1.45Mbps
111.221.137.234:44330     | 存活:3 | 均值:2.75Mbps | 峰值:7.01Mbps
112.123.243.37:50085      | 存活:3 | 均值:1.01Mbps | 峰值:7.6Mbps
