更新时间: 2026-04-10 15:05:13（北京时间）

更新时间,#genre#
2026-04-10 15:05:13,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
重庆卫视,http://106.116.240.74:9999/rtp/239.254.200.203:6323$河北省电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
重庆卫视,http://60.184.112.120:4023/rtp/233.50.201.143:5140$浙江电信
重庆卫视,http://60.184.112.120:4023/rtp/233.50.200.114:5140$浙江电信
重庆卫视,http://223.10.214.111:6000/rtp/239.1.1.36:8036$山西电信
重庆卫视,http://182.135.34.97:888/rtp/239.94.0.82:5140$四川电信
贵州卫视,http://106.116.240.74:9999/rtp/239.254.201.20:6315$河北省电信
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
贵州卫视,http://60.184.112.120:4023/rtp/233.50.201.142:5140$浙江电信
贵州卫视,http://60.184.112.120:4023/rtp/233.50.200.139:5140$浙江电信
贵州卫视,http://223.10.214.111:6000/rtp/239.1.1.43:8043$山西电信
贵州卫视,http://182.135.34.97:888/rtp/239.94.0.83:5140$四川电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
云南卫视,http://60.184.112.120:4023/rtp/233.50.200.115:5140$浙江电信
云南卫视,http://223.10.214.111:6000/rtp/239.1.1.54:8054$山西电信
云南卫视,http://182.135.34.97:888/rtp/239.94.0.90:5140$四川电信
天津卫视,http://106.116.240.74:9999/rtp/239.254.200.54:1234$河北省电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
天津卫视,http://60.184.112.120:4023/rtp/233.50.201.104:5140$浙江电信
天津卫视,http://60.184.112.120:4023/rtp/233.50.200.104:5140$浙江电信
天津卫视,http://223.10.214.111:6000/rtp/239.1.1.46:8046$山西电信
天津卫视,http://182.135.34.97:888/rtp/239.94.0.68:5140$四川电信
安徽卫视,http://106.116.240.74:9999/rtp/239.254.200.163:6000$河北省电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
安徽卫视,http://60.184.112.120:4023/rtp/233.50.201.113:5140$浙江电信
安徽卫视,http://60.184.112.120:4023/rtp/233.50.200.106:5140$浙江电信
安徽卫视,http://223.10.214.111:6000/rtp/239.1.1.44:8044$山西电信
安徽卫视,http://182.135.34.97:888/rtp/239.94.0.85:5140$四川电信
山东卫视,http://106.116.240.74:9999/rtp/239.254.200.55:8052$河北省电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
山东卫视,http://60.184.112.120:4023/rtp/233.50.201.105:5140$浙江电信
山东卫视,http://60.184.112.120:4023/rtp/233.50.200.127:5140$浙江电信
山东卫视,http://60.184.112.120:4023/rtp/233.50.202.108:5140$浙江电信
山东卫视,http://223.10.214.111:6000/rtp/239.1.1.47:8047$山西电信
山东卫视,http://182.135.34.97:888/rtp/239.94.0.120:5140$四川电信
山东卫视,http://182.135.34.97:888/rtp/239.94.0.69:5140$四川电信
辽宁卫视,http://106.116.240.74:9999/rtp/239.254.200.57:8056$河北省电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
辽宁卫视,http://60.184.112.120:4023/rtp/233.50.201.141:5140$浙江电信
辽宁卫视,http://60.184.112.120:4023/rtp/233.50.200.129:5140$浙江电信
辽宁卫视,http://60.184.112.120:4023/rtp/233.50.200.173:5140$浙江电信
辽宁卫视,http://223.10.214.111:6000/rtp/239.1.1.42:8042$山西电信
辽宁卫视,http://182.135.34.97:888/rtp/239.94.0.101:5140$四川电信
黑龙江卫视,http://106.116.240.74:9999/rtp/239.254.200.49:8016$河北省电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
黑龙江卫视,http://60.184.112.120:4023/rtp/233.50.201.115:5140$浙江电信
黑龙江卫视,http://60.184.112.120:4023/rtp/233.50.200.189:5140$浙江电信
黑龙江卫视,http://223.10.214.111:6000/rtp/239.1.1.37:8037$山西电信
黑龙江卫视,http://182.135.34.97:888/rtp/239.94.0.81:5140$四川电信
吉林卫视,http://106.116.240.74:9999/rtp/239.254.201.15:6339$河北省电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
吉林卫视,http://60.184.112.120:4023/rtp/233.50.200.164:5140$浙江电信
吉林卫视,http://60.184.112.120:4023/rtp/233.50.202.42:5140$浙江电信
吉林卫视,http://223.10.214.111:6000/rtp/239.1.1.30:8030$山西电信
吉林卫视,http://182.135.34.97:888/rtp/239.94.0.91:5140$四川电信
内蒙古卫视,http://223.10.214.111:6000/rtp/239.1.1.60:8060$山西电信
宁夏卫视,http://60.184.112.120:4023/rtp/233.50.202.45:5140$浙江电信
宁夏卫视,http://223.10.214.111:6000/rtp/239.1.1.56:8056$山西电信
宁夏卫视,http://182.135.34.97:888/rtp/239.94.0.96:5140$四川电信
山西卫视,http://223.10.214.111:6000/rtp/239.1.1.1:8001$山西电信
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
陕西卫视,http://223.10.214.111:6000/rtp/239.1.1.50:8050$山西电信
陕西卫视,http://182.135.34.97:888/rtp/239.94.0.92:5140$四川电信
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
甘肃卫视,http://60.184.112.120:4023/rtp/233.50.200.163:5140$浙江电信
甘肃卫视,http://223.10.214.111:6000/rtp/239.1.1.51:8051$山西电信
甘肃卫视,http://182.135.34.97:888/rtp/239.94.0.99:5140$四川电信
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
青海卫视,http://223.10.214.111:6000/rtp/239.1.1.53:8053$山西电信
新疆卫视,http://60.184.112.120:4023/rtp/233.50.202.46:5140$浙江电信
新疆卫视,http://223.10.214.111:6000/rtp/239.1.1.59:8059$山西电信
新疆卫视,http://182.135.34.97:888/rtp/239.94.0.98:5140$四川电信
西藏卫视,http://60.184.112.120:4023/rtp/233.50.202.43:5140$浙江电信
西藏卫视,http://223.10.214.111:6000/rtp/239.1.1.57:8057$山西电信
西藏卫视,http://182.135.34.97:888/rtp/239.94.0.97:5140$四川电信
三沙卫视,http://106.116.240.74:9999/rtp/239.254.200.165:4120$河北省电信
三沙卫视,http://60.184.112.120:4023/rtp/233.50.200.175:5140$浙江电信
三沙卫视,http://223.10.214.111:6000/rtp/239.1.1.70:8070$山西电信
兵团卫视,http://106.116.240.74:9999/rtp/239.254.200.156:4120$河北省电信
兵团卫视,http://60.184.112.120:4023/rtp/233.50.202.44:5140$浙江电信
兵团卫视,http://223.10.214.111:6000/rtp/239.1.1.58:8058$山西电信
兵团卫视,http://182.135.34.97:888/rtp/239.94.0.102:5140$四川电信
康巴卫视,http://182.135.34.97:888/rtp/239.94.0.78:5140$四川电信
农林卫视,http://223.10.214.111:6000/rtp/239.1.1.73:8073$山西电信
山东教育卫视,http://106.116.240.74:9999/rtp/239.254.200.247:4120$河北省电信
山东教育卫视,http://223.10.214.111:6000/rtp/239.1.1.74:8074$山西电信
中国教育1台,http://106.116.240.74:9999/rtp/239.254.200.225:6259$河北省电信
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
中国教育1台,http://60.184.112.120:4023/rtp/233.50.200.169:5140$浙江电信
中国教育1台,http://60.184.112.120:4023/rtp/233.50.201.75:5140$浙江电信
中国教育1台,http://223.10.214.111:6000/rtp/239.1.1.65:8065$山西电信
中国教育1台,http://182.135.34.97:888/rtp/239.94.1.2:5140$四川电信
中国教育2台,http://223.10.214.111:6000/rtp/239.1.1.66:8066$山西电信
中国教育4台,http://106.116.240.74:9999/rtp/239.254.200.227:6261$河北省电信
